12,de.sueddeutsche,medien,http://www.sueddeutsche.de/medien/filmkritik-blut-und-schlamm-1.3752083,,Blut und Schlamm und vielleicht bald ein Oscar,"Die Hölle ist schmutzig – und das Leben in den Südstaaten derzeit ein sehr beliebtes Filmthema. Da, wo der Mississippi mündet, ist es besonders schlammig, und die Redewendung to sell somebody down the river - für: jemandem das Fell über die Ohren ziehen - erinnert in Amerika bis heute daran, wie beliebt schon bei den Sklaven die Aussicht war, aus der Hölle der nördlichen Südstaaten in die noch höllischeren Höllen von Louisiana und Mississippi verhökert zu werden. Auf Netflix hat nun eines Premiere, das gewissermaßen beides ist: Breitwandkino für den Bildschirm. Mudbound ist ein Mehr-als-zwei-Stunden-Melodram mit sichtbaren Ambitionen und vermutlich sogar Chancen auf die Oscars, was erstens am Thema (Rassismus), zweitens an der politischen Debattenlage heute (wiederum Rassismus) und drittens natürlich schon auch an den Darstellern liegt, zum Beispiel Mary J. Blige, die für den Nebendarstellerinnen-Oscar im Gespräch ist, wobei auch Carey Mulligan als ihr Gegenstück viel Ausdruckskraft aufs Leiden verwendet. Das sind Pächter, die den Eignern des Landes einen Teil der Ernte überlassen müssen. Wenn es auch eine eigene Oscar-Kategorie für wirklich durchdringend furchterregende Ku-Klux-Klan-Ekel gäbe, hätte Jonathan Banks ( Breaking Bad , Better Call Saul ) seinen hiermit sicher. Dies aber erst in Stunde zwei des seinerseits recht mississippihaft dahinfließenden Films . In der ersten regnet es vor allem viel, ist es viel dunkel, es wird viel Gospel gesungen, und wenn jemand im gähnenden Schaukelstuhl-auf-der-Veranda-Akzent der Südstaaten sagt, dass er gern nach Los Änscheliiiiiiiiiiiiiiis ziehen würde, dann braucht er halt allein für das Wort doppelt so lang wie jemand in Los Angeles, geschweige denn New York. Das liegt ganz einfach an der Hitze dort und ist von daher am ehesten etwas für lange, kalte Abende. In der ZDF-Neo-Serie ""Lobbyistin"" geht es um Korruption, weibliche Sexsucht und die Medienmaschine.",2017-11-18 11:39:38.000000,2017-11-18 16:51:17.555790
1,de.sueddeutsche,medien,http://www.sueddeutsche.de/medien/usa-sag-mir-was-du-schaust-und-ich-sage-dir-ob-du-trump-waehlst-1.3747241,Kathrin Werner,"Sag mir, was du schaust, und ich sage dir, ob du Trump wählst","Im Auge des Betrachters: Polizeiserien wie Blue Bloods sind vor allem bei konservativen Zuschauern beliebt. In der Serie The Brave jagen amerikanische Undercover-Agenten Terroristen um die halbe Welt. Die neue Serie, seit Ende September zu sehen beim US-Sender NBC, ist Fernsehen für Konservative. The Brave ist ganz weit vorn, auch andere Action-geladene Shows sind beliebt, zum Beispiel Lethal Weapon oder Blue Bloods . Politisch linksorientierte Amerikaner mögen dagegen Serien mit bunt gemischten Besetzungen, die vom modernen Leben in Städten erzählen, etwa Crazy Ex-Girlfriend und Will & Grace . Diese Shows seien kaum politisch eingefärbt und behandeln Themen, die alle interessieren, sagte Fizziology-Gründer Ben Carlson der Nachrichtenwebsite Business Insider . Männer mit langen Bärten sind die Helden, Frauen spielen keine große Rolle, Schwarze oder Schwule kommen nicht vor. So etwas mögen die Menschen in ländlichen Gegenden der USA, im konservativen Heartland. Jeder kannte I love Lucy und Alf , die Shows prägten den amerikanischen Humor. Fernsehserien strebten an, so normal wie möglich zu sein und jeden anzusprechen.",2017-11-18 15:36:31.000000,2017-11-18 16:51:02.908497
2,de.sueddeutsche,stil,http://www.sueddeutsche.de/stil/essen-und-trinken-das-perfekte-glas-fuer-den-lieblingswein-1.3751235,,Das perfekte Glas für den Lieblingswein,"Eine gelöste Runde sitzt am Tisch, man trinkt zusammen, nicht jeder weiß so ganz genau, was er im Glas hat. Für das gerade anlaufende Weihnachtsgeschäft sollte man, ob als Käufer oder Verkäufer, ziemlich firm in der Materie sein. Man fragt sich, woher alle plötzlich das Wissen nehmen, wie Single Malt aus Japan serviert wird und in welches Gläschen der Quittenbrand gehört. Wer sich da das große Programm leistet, ein Trink-Geschirr für Apéro über Riesling und Burgunder bis zum Digestif, ist schnell etliche Hundert Euro los. Wer Unterstützung nötig hat - man braucht es ja nicht zuzugeben -, ist bei Astrid Zieglmeier gut aufgehoben. Die Sommelière rät: ""Ein vernünftiges Glas, nicht zu klein, gut sieben Zentimeter Kelchdurchmesser - das passt wunderbar für jeden Wein."" Tiefschwarz, hocharomatisch und handgefiltert: Latte Macchiato war gestern, inzwischen ist Kaffee auch in Deutschland der neue Wein. Und entscheide sich nach Gusto für eines der unprätentiösen sogenannten Standardgläser, die alle namhaften Hersteller im Programm haben. Und danach seine revolutionäre Produktserie konzipierte (die Furcht vor dem Fauxpas des falschen Glases erfand er quasi mit). Ein Knochenjob, bei dem erstaunliche Kunstwerke entstehen wie der vielfach gebogene Dekanter ""Boa"", erhältlich für gut 400 Euro im angegliederten Shop.",2017-11-18 15:17:53.000000,2017-11-18 16:51:03.864349
99,de.sueddeutsche,politik,http://www.sueddeutsche.de/politik/jamaika-sondierungsgespraeche-jamaika-unterhaendler-kommen-sich-naeher-wenigstens-ein-bisschen-1.3755569,,Jamaika-Unterhändler kommen sich näher - wenigstens ein bisschen,"So haben die Parteien offenbar eine gemeinsame Linie bei der Agrarpolitik gefunden, auch in Sachen Wirtschaftspolitik sei man sich im Grundsatz einig, machte Grünen-Fraktionschefin Katrin Göring-Eckardt deutlich. Ob man bis Sonntagabend aber wirklich auf allen Gebieten einen Kompromiss gefunden haben wird, lassen die Parteien bislang offen. So gibt es nach wie vor keine Ergebnisse beim Thema Migration sowie Klimaschutz und Energie. In Teilnehmerkreisen hieß es am Samstagabend nach dem Ende der Beratungen, wenn das Thema Migration gelöst werden könne, käme man auch bei Klimaschutz und Energie zusammen. Auch beim Streitthema Verkehr sind zentrale Fragen wie die Zukunft von Verbrennungsmotoren weiter strittig. Trotz dieser Erfolge wies CSU-Chef Horst Seehofer aber Aussagen der FDP zurück, dass die Sondierungen am Sonntag um 18 Uhr beendet würden. FDP-Chef Lindner beharrte aber auf einem Abschluss der Beratungen: ""Sonntagabend 18.00 Uhr ist hier vorbei. Bis dahin wissen wir, was ist an Finanztableau da, welche Richtungsentscheidung es gibt."" CSU-Landesgruppenchef Alexander Dobrindt sagte, der Wille aller sei groß, ""zu zeigen, dass auch eine so komplizierte politische Aufgabe gelingen kann"". Der Welt am Sonntag sagte Steinmeier: ""Wenn jetzt von den Jamaika-Verhandlern hart um große Fragen wie Migration und Klimaschutz gerungen wird, muss das kein Nachteil für die Demokratie sein.""",2017-11-18 19:43:30.000000,2017-11-18 20:51:51.773242
15,de.sueddeutsche,politik,http://www.sueddeutsche.de/politik/sz-wahlzentrale-worum-es-heute-in-den-jamaika-sondierungen-geht-1.3755335,Hannah Beitzer,Worum es heute in den Jamaika-Sondierungen geht,"Auf den allerersten Blick, da sind sich alle Sondierer einig: Deutschland muss seine Klimaziele einhalten. Doch bei der Frage, was dafür nötig ist, sind die Differenzen noch groß. CDU, CSU und FDP gehen davon aus, dass bereits ein Minus von 32 bis 66 Millionen Tonnen CO2 ausreicht. In den Hauptstreitpunkten sind Grüne, FDP und Union auch nach einer langen Nacht keinen Schritt weiter. Der ist für Flüchtlinge, die nur einen subsidiären Schutz genießen, noch bis Frühjahr 2018 ausgesetzt. Subsidiären Schutz genießen all jene Flüchtlinge, die in ihrem Heimatland zwar nicht persönlich verfolgt werden, denen aber Folter, anderweitige unmenschliche Behandlung oder die Todesstrafe drohen oder in deren Ländern Krieg herrscht. Verlässliche Zahlen sind schwer zu bekommen, doch Schätzungen gehen von weit weniger Menschen aus, etwa 50 000 bis 60 000 zusätzlichen Migranten . Wobei auch CDU und FDP nicht gerade euphorisch sind, wenn es um die von den Grünen geforderte ""Verkehrswende"" geht. Die Grünen setzten sich zum Beispiel mit der Forderung nach einem ""Tierwohllabel"" durch. Die CDU-Vorsitzende hat ein Problem: Ihren potenziellen Partnern CSU, FDP und Grünen kann sie nichts anbieten, was alle zufriedenstellt.",2017-11-18 11:20:49.000000,2017-11-18 16:51:21.374058
4,de.sueddeutsche,politik,http://www.sueddeutsche.de/politik/krise-in-nahost-saudi-arabien-ruft-botschafter-aus-berlin-zurueck-1.3755320,,Saudi-Arabien ruft Botschafter aus Berlin zurück,"Nach kritischen Aussagen von Bundesaußenminister Sigmar Gabriel (SPD) ruft Saudi-Arabien seinen Botschafter aus Berlin zurück. Wie die staatliche Nachrichtenagentur SPA mitteilte, beorderte das Königreich seinen diplomatischen Vertreter für ""Konsultationen"" nach Riad. Unterdessen wurde der libanesische Ministerpräsident Saad Hariri in Paris vom französischen Präsidenten Emmanuel Macron im Élyséepalast empfangen. Das Statement fiel am Rande des Besuch von Gabriels libanesischem Amtskollegen Dschibran Bassil in Berlin. Weiter sprach Gabriel von einer ""brandgefährlichen Entwicklung im Libanon"" und warnte vor ""blutigen Auseinandersetzungen"" in dem Land sowie mit Nachbarländern. Der möglicherweise erzwungene Rücktritt des libanesischen Premierministers könnte den Konflikt zwischen Saudi-Arabien und Iran eskalieren lassen. In einem Tweet wandte sich Hariri direkt an den deutschen Außenminister und dementierte, festgehalten zu werden. Weiter hieß es: ""Dies offen anzusprechen, ist unter engen internationalen Partnern möglich und selbstverständlich."" Es wird von vielen befürchten, dass der Staat zum Schauplatz eines neuen Stellvertreterkrieges zwischen den rivalisierenden Regionalmächten Iran und Saudi-Arabien werden könnte. eine erwartete Rückkehr nach Beirut wird als Voraussetzung für die Lösung der politischen Krise gesehen.",2017-11-18 14:55:21.000000,2017-11-18 16:51:06.220160
102,de.sueddeutsche,politik,http://www.sueddeutsche.de/politik/jamaika-gespraeche-die-csu-ist-ein-huehnerhof-in-dem-sich-die-haehne-fuer-loewen-halten-1.3753715,Heribert Prantl,"Die CSU ist ein Hühnerhof, in dem sich die Hähne für Löwen halten","Sie war zwar immer extrovertiert, exaltiert und, wie man auf Bairisch sagt, ""krachert""; aber dabei stets machtkonzentriert. Sie war eine Partei des pragmatisch regierenden Populismus; an diesem Pragmatismus fehlt es derzeit. Die weiß-blaue Partei ist dabei, eine Regierung Merkel IV schon im Ansatz zu verhindern. Auf den Widerspruch zu seinen Reden übers ""rot-grüne Chaos"" angesprochen, meinte Strauß: ""Vormittags machen wir Propaganda, und nachmittags Politik."" In Flüchtlingsfragen müsste sich ein Kompromiss auf dem Boden des Grundgesetzes finden lassen: Auch die CSU bekennt sich ja in dem Friedenspapier, das sie mit der CDU schon geschlossen hat, zum individuellen Asylrecht. Das verträgt sich nicht mit der CSU-Forderung, dass ab einer bestimmten Zahl von Flüchtlingen die Klappe herunterfallen und jede Prüfung verweigert werden soll. Und was den Familiennachzug betrifft: Die Familie des Flüchtlings, der ""nur"" vor Folter oder Krieg geflohen ist, ist keine schlechtere, weniger schützenswerte Familie als die eines politisch verfolgten Flüchtlings. Schutzbedürftigkeit ist kein Abstraktum, man darf Familien den Schutz nicht einfach pauschal entziehen. Dann ist auch die Zeit, in der das Ergebnis wieder zerredet werden kann, kürzer. Die CDU-Vorsitzende hat ein Problem: Ihren potenziellen Partnern CSU, FDP und Grünen kann sie nichts anbieten, was alle zufriedenstellt.",2017-11-18 17:59:20.000000,2017-11-18 20:51:54.225113
9,de.sueddeutsche,politik,http://www.sueddeutsche.de/politik/us-soldaten-im-koreakrieg-der-krieg-des-mg-schuetzen-carter-1.3731744,Hubert Wetzel,Der Krieg des MG-Schützen Carter,"Magere Gesichter mit müden Augen, die zu viel gesehen haben; vermummte Gestalten mit Stoppelbärten, Männer, die dicke Wollmützen unter ihren Stahlhelmen tragen und sich an einer Zigarette wärmen. Verwundete, quer über die Motorhaube eines Jeeps gelegt und festgezurrt wie Holzbalken. Die Korea-Veteranen nennen ihn bis heute ""Amerikas vergessener Krieg"", aus der Erinnerung verdrängt von den glorreichen Siegen des Zweiten Weltkriegs und dem finsteren Gemetzel in Vietnam. Zudem war der Koreakrieg offiziell nur eine Art militärischer Polizeieinsatz unter Mandat und Flagge der Vereinten Nationen, um das mit dem Westen verbündete Südkorea zu befreien, nachdem es 1950 vom kommunistischen Norden überfallen worden war. Er wuchs in Hagerstown auf, einer kleinen Industriestadt im Norden von Maryland. Sein Vater war Holzarbeiter, Richard hatte neun Brüder und eine Schwester. ""Mit 15 habe ich zum ersten Mal versucht, in die Army zu kommen"", sagt er. ""Sie haben uns auf dem Paradeplatz antreten lassen und gefragt, wer freiwillig an die Front gehen will"", erzählt Carter. Breitengrad - hinweg und eroberten am 28. Juni Seoul, die Hauptstadt des Südens. Das von den Alliierten gehaltene Gebiet schmolz auf einen kleinen Brückenkopf um die Stadt Busan im Südosten der Halbinsel zusammen.",2017-11-18 12:58:44.000000,2017-11-18 16:51:13.635135
8,de.sueddeutsche,politik,http://www.sueddeutsche.de/politik/putsch-in-simbabwe-die-angst-ist-weg-1.3755431,Bernd Dörries,Die Angst ist weg,"Das Volk in Simbabwe vollendet, was den Generälen nicht gelungen ist: Mugabe aus dem Amt zu jagen. Vor 37 Jahren stand Victor Pkuretu schon einmal hier auf diesem großen Platz in einem Vorort von Harare. Bilder mehr... ""Es fällt mir schwer, das zu sagen, aber unser Held von damals ist ein Verbrecher geworden. Er hat damals mit Mugabe gekämpft im Unabhängigkeitskrieg, ist dafür für viele Jahre in den Internierungslagern des weißen Regimes verschwunden. Man sieht sie in der ganzen Stadt, die mittlerweile eine Mischung ist aus Volksfest und Demonstration. Manchmal, so sieht es aus, schauen sich die Demonstranten gegenseitig an, mit einem ungläubigen Blick: Trauen wir uns das wirklich? Und auch diejenigen, die ihn gestern noch bejubelten, haben sich recht geschmeidig an den neuen Realitäten orientiert. Die Demonstranten tragen schon das Bild des möglichen neuen starken Mannes mit sich herum: Emmerson Mnangagwa, der Mugabe 37 Jahre lang treu zur Seite stand, bis dieser ihn vor zwei Wochen als Vize-Präsident feuerte, um Platz zu machen für seine Frau Grace. ""Es fühlt sich komisch an, hier zu stehen, dort drüben steht ein Mann, der damals meinen Nachbarn verprügelt und seiner Frau ins Gesicht geschlagen hat, vor den Kindern. Seine erste Ehefrau Sally setzte sich für Leprakranke ein, Nachfolgerin Grace Mugabe fiel vor allem durch ihre Luxussucht auf.",2017-11-18 13:11:38.000000,2017-11-18 16:51:12.129219
3,de.sueddeutsche,politik,http://www.sueddeutsche.de/politik/machtkampf-in-der-csu-das-letzte-duell-1.3754059,,Das letzte Duell,"Ministerpräsident Horst Seehofer und Finanzminister Markus Söder ringen um die Macht in Bayern und der CSU. Horst Seehofer und Markus Söder bekriegen sich in der CSU seit Jahren. Mit dem Desaster bei der Bundestagswahl hat das Endspiel begonnen. Text: Roman Deininger und Wolfgang Wittl; Illustrationen: Katharina Bitzl 24. September Es ist kurz nach 16 Uhr am Wahlsonntag, als auf den Handys die ersten, eigentlich noch geheimen Zahlen aufblinken. Horst Seehofer und sein engster Kreis haben sich in den vierten Stock der Münchner CSU-Zentrale zurückgezogen. Generalsekretär Andreas Scheuer ist da, Bundesverkehrsminister Alexander Dobrindt, Wirtschaftsministerin Ilse Aigner. Eine Büste von Franz Josef Strauß wacht über die Runde, indes nicht sehr erfolgreich: Die CSU wird unter 40 Prozent fallen. ""Die haben sich verrechnet"", sagt einer. Da seien die Zahlen aus ...",2017-11-18 15:01:11.000000,2017-11-18 16:51:04.896092
